feat,n_nonnull,read_pct,share_pct,like_pct,old_like_pct,comment_pct,composite_pct,best_sub,best_abs
first_person_density,2106,0.1244380474112173,0.14824914838242398,0.1665880566689584,0.17379133359025606,0.09389772354278553,0.14841160107458617,old_like_pct,0.17379133359025606
img_per_1k_chars,2106,-0.05928927819175093,-0.16772826313155048,-0.1542840580586362,-0.11937655168153154,0.014375146494373837,-0.10318394314749492,share_pct,0.16772826313155048
b_one_liner_ratio,2106,-0.07907737497894951,-0.1650483089374838,-0.1100980124561672,-0.08916905350083028,0.01714929071341832,-0.0979453971080933,share_pct,0.1650483089374838
b_first_para_chars,2106,0.08007825466699742,0.15737193294831026,0.10883654711494917,0.08208360119533134,0.01387227058102205,0.09794274277191592,share_pct,0.15737193294831026
b_english_ratio,2106,-0.0919338016153955,-0.09053220768708009,-0.11708739192252535,-0.13729758076881152,-0.08369836261883254,-0.10862187333688228,old_like_pct,0.13729758076881152
b_short_para_ratio,2106,-0.028752207148134437,-0.13554978446516336,-0.08618163334683669,-0.06009644755523582,0.08696215011807554,-0.055708962876323084,share_pct,0.13554978446516336
comment_top1_length,1626,0.08921440742104406,0.12347965973583563,0.13478192232563105,0.12835614712308702,0.0776568976344388,0.11676814067533045,like_pct,0.13478192232563105
topic_trend_30v90,1310,0.0884010124642733,0.10423321437452474,0.1342642502018939,0.1157950984779065,0.08025792353285473,0.10608401534211961,like_pct,0.1342642502018939
controversy_markers,2106,0.09388410268794377,0.11698604070930048,0.1318158837416232,0.1318456483438512,0.08642537212766115,0.11417629710341655,old_like_pct,0.1318456483438512
comment_median_length,1626,0.09324160267331037,0.10847657170897215,0.12618620726909044,0.11452243379383914,0.08255577705665643,0.11151932115036228,like_pct,0.12618620726909044
b_colons,2106,0.0023740294206518455,0.12201189520870998,0.07321242843701704,0.049122318076804575,-0.0667190908997134,0.040463449845100405,share_pct,0.12201189520870998
b_dash,2106,0.03408243225899277,0.10066719986795906,0.12027653641972716,0.06922721343036477,-0.04193665856188794,0.060621062011485906,like_pct,0.12027653641972716
b_para_count,2106,0.06146053299483725,-0.0647248682287461,-0.038771315957271145,0.02172236291562953,0.11896240145017087,0.02334238639070154,comment_pct,0.11896240145017087
topic_account_diversity_30d,2106,0.08803073695175487,0.07650286858902268,0.11143098486260401,0.10275894503852763,0.118448680052904,0.09771759700064574,comment_pct,0.118448680052904
t_chars,2106,0.03986549380452679,0.11689857279192183,0.07948313384589656,0.0420754828109497,-0.01052567370782643,0.05827478730750544,share_pct,0.11689857279192183
t_english_chars,2106,0.08078311522653077,0.1100175580373611,0.06465869586628956,0.026272000937099797,0.01962932967415032,0.07272052014337897,share_pct,0.1100175580373611
b_commas,2106,-0.04426248793748229,0.034552156106776574,0.0014371337271060153,-0.019635697350016388,-0.10530707681238528,-0.023627324918682257,comment_pct,0.10530707681238528
b_quote_zh,2106,0.026044453940656947,0.08902884420337304,0.09818646579963167,0.08696094483903057,0.015997267741480414,0.06418348257799905,like_pct,0.09818646579963167
comment_sentiment_pos_ratio,1626,-0.008089801619059547,0.07967184583736801,0.09497847298298187,0.0957429715685141,-0.03130859135212626,0.0438366460996503,old_like_pct,0.0957429715685141
topic_freshness,2106,0.05453945242518549,0.0400409272410561,0.0859224065870808,0.07767096442217873,0.09099576328060464,0.06522623709514216,comment_pct,0.09099576328060464
b_questions,2106,-0.06909273708256192,-0.03318616866174432,-0.01774560847583229,-0.03354471294667103,-0.08965151985258574,-0.05272687017664107,comment_pct,0.08965151985258574
t_dots3,2106,-0.05820085502493371,-0.08496386408555011,-0.05525664326789281,-0.050335936261430875,-0.03164292866422037,-0.06296856853732763,share_pct,0.08496386408555011
topic_volume_30d,2106,0.03929641516331978,0.029395459796553513,0.055459483561548846,0.052494347522499506,0.07854165198864782,0.04554264301923516,comment_pct,0.07854165198864782
b_emojis,2106,-0.03280291712985427,0.0037027518610577123,0.008486782580345879,0.0007752099037496787,-0.06985543011662575,-0.01623795039722807,comment_pct,0.06985543011662575
b_inline_code_count,2106,0.033254923760486436,0.046240698427286356,0.06027307543298002,0.05496476260363024,0.0241111891463366,0.04564010968210169,like_pct,0.06027307543298002
b_quote_en,2106,0.016012270794029435,0.060104220847260886,0.04290043118453826,0.0388553416122448,-0.0034666459335131613,0.03384016343249744,share_pct,0.060104220847260886
numbers_in_title_meaningful,2106,-0.050858269498391645,-0.04222987024728234,-0.05472916767028597,-0.05129476514668668,-0.05985438225543856,-0.05202539925966685,comment_pct,0.05985438225543856
t_digit_count,2106,-0.0222894874428606,-0.024733196522227597,-0.037643073928860654,-0.04351483709971693,-0.03795857723995688,-0.030553262260864685,old_like_pct,0.04351483709971693
time_words_in_title,2106,0.042644438251668394,0.017806973287869753,0.017757555066381183,0.011510710169133097,0.030839490704589002,0.029364384684241338,read_pct,0.042644438251668394
b_external_link_count,2106,-0.009938473599981614,-0.035643939828247144,-0.016014351681436223,-0.017470420154307553,-0.012628627666753794,-0.018852320638122127,share_pct,0.035643939828247144
t_brackets_zh,2106,-0.0007431463537688554,0.00599825099511693,0.014882116570547329,0.013187254166664842,0.03548124309490175,0.008106704965196089,comment_pct,0.03548124309490175
current_event_words_in_title,2106,0.01704524324998444,0.0009432332052509063,-0.017729966890375363,-0.03424428997193738,-0.016459871218986313,-0.003759533153495414,old_like_pct,0.03424428997193738
t_brackets_en,2106,0.008520959573491626,0.024412353678862866,0.0006493021356370453,0.0016152935333461308,-0.02092151726554511,0.006123737814122604,share_pct,0.024412353678862866
b_link_count,2106,0.0018542690734301248,-0.012999559902876903,-0.0024665135147583193,-0.0048324527326981176,-0.02424250116456995,-0.004933722931531664,comment_pct,0.02424250116456995
b_excl,2106,-0.008136409814381034,0.004506463912999709,0.009522180584967043,0.00010948513080330387,-0.01962869609600615,-0.0017841792139624566,comment_pct,0.01962869609600615
imperative_verbs_in_title,2106,0.002616437216669753,0.0025811926521600134,0.01856826642443296,0.01319289245723519,0.0037118276905708995,0.007622702933183924,like_pct,0.01856826642443296
t_emojis,2106,0.017965012049425234,-0.01524903263902993,-0.011655046354605385,-0.001693483997666183,0.013406672655362458,0.004700984182862469,read_pct,0.017965012049425234
